age_group,2021,2022,2023,2024
15-19,1465,1638,1879,2161
20-24,1640,1780,2061,2255
25-29,2289,2490,2746,2946
30-34,2999,3123,3297,3381
35-39,3424,3556,3765,4013
40-44,3815,4025,4241,4395
45-49,3827,4107,4237,4517
50-54,3776,3977,4161,4495
55-59,3810,3933,4098,4463
60-64,2802,2967,3182,3373
